,Product Name,configuration_details,image_links,Price
0,"realme 9 5G (Stargaze White, 128 GB)","3,437 Ratings & 284 Reviews",https://rukminim1.flixcart.com/image/312/312/l0jwbrk0/mobile/a/p/r/-original-imagcb64gwkhzdk5.jpeg?q=70,"?17,499"
1,"REDMI Note 10S (Deep Sea Blue, 64 GB)","41,114 Ratings & 2,849 Reviews",https://rukminim1.flixcart.com/image/312/312/kyeqjrk0/mobile/y/u/t/-original-imagan9qzdf2hbgy.jpeg?q=70,"?12,999"
2,"realme 9 5G (Meteor Black, 64 GB)","10,044 Ratings & 733 Reviews",https://rukminim1.flixcart.com/image/312/312/l0jwbrk0/mobile/e/f/b/-original-imagcb64e6mywt9j.jpeg?q=70,"?15,999"
3,"realme 9 5G (Stargaze White, 64 GB)","10,044 Ratings & 733 Reviews",https://rukminim1.flixcart.com/image/312/312/l0jwbrk0/mobile/a/p/r/-original-imagcb64gwkhzdk5.jpeg?q=70,"?15,999"
4,"SAMSUNG Galaxy F12 (Sea Green, 64 GB)","2,76,166 Ratings & 22,290 Reviews",https://rukminim1.flixcart.com/image/312/312/kn22m4w0/mobile/a/q/8/galaxy-f12-sm-f127gzgiins-samsung-original-imagftmjw3xqg4yk.jpeg?q=70,"?9,499"
5,"REDMI Note 10S (Frost White, 64 GB)","41,114 Ratings & 2,849 Reviews",https://rukminim1.flixcart.com/image/312/312/kyeqjrk0/mobile/z/i/b/-original-imagan9qprtsdkab.jpeg?q=70,"?12,999"
6,"REDMI Note 10S (Cosmic Purple, 64 GB)","41,114 Ratings & 2,849 Reviews",https://rukminim1.flixcart.com/image/312/312/kyeqjrk0/mobile/u/0/8/-original-imagan9qhw9nyhce.jpeg?q=70,"?12,999"
7,"REDMI Note 10S (Shadow Black, 64 GB)","41,114 Ratings & 2,849 Reviews",https://rukminim1.flixcart.com/image/312/312/kyeqjrk0/mobile/u/0/8/-original-imagan9qhw9nyhce.jpeg?q=70,"?12,999"
8,"realme 9 5G (Meteor Black, 128 GB)","3,437 Ratings & 284 Reviews",https://rukminim1.flixcart.com/image/312/312/l0jwbrk0/mobile/e/f/b/-original-imagcb64e6mywt9j.jpeg?q=70,"?17,499"
9,"POCO C31 (Royal Blue, 64 GB)","69,742 Ratings & 4,071 Reviews",https://rukminim1.flixcart.com/image/312/312/ku4ezrk0/mobile/p/e/4/c31-mzb0a0jin-poco-original-imag7bzqxgdhgf2n.jpeg?q=70,"?8,499"
10,"SAMSUNG Galaxy F22 (Denim Blue, 64 GB)","69,904 Ratings & 6,901 Reviews",https://rukminim1.flixcart.com/image/312/312/kqqykcw0/mobile/j/5/7/galaxy-f22-sm-e225flbdins-samsung-original-imag4z99fp4qdfby.jpeg?q=70,"?10,499"
